id,features
10,"[-1.0514190196990967, -0.8208926320075989, -0.7193706631660461, 0.6646007895469666, 0.4270712435245514, -0.3110235929489136, 0.7968567609786987, -0.8063529133796692, -0.7730517387390137, -0.5762068629264832]"
20,"[0.3391333520412445, -0.6099246144294739, 0.8484072685241699, -1.797006368637085, 0.31090670824050903, 1.3940988779067993, 1.2584704160690308, 0.1525825411081314, 0.25183892250061035, -0.8321617245674133]"
30,"[-1.2644463777542114, -1.9046727418899536, -0.1393880993127823, -0.6900303959846497, -1.461719274520874, -0.26664096117019653, 0.7274084687232971, 0.46195003390312195, -0.754422128200531, 0.8947134017944336]"
40,"[-0.27524420619010925, 0.1433565467596054, 0.7191665172576904, 0.2840965986251831, 2.483759641647339, -0.2661624848842621, 0.43070539832115173, -1.8373907804489136, -0.4889976680278778, 0.36723509430885315]"
50,"[-0.6183212399482727, -0.10776951909065247, -0.5198444724082947, 1.1012444496154785, 0.7534540891647339, -0.9381519556045532, 2.0448849201202393, 0.8499670028686523, -0.6764720678329468, 1.2635616064071655]"
60,"[2.1899967193603516, 0.9291009306907654, 0.47366875410079956, 0.5271930694580078, 0.6604347229003906, 0.4371708929538727, -0.4429786801338196, -1.122347116470337, -0.27117201685905457, -0.35723772644996643]"
70,"[0.09600856900215149, -1.531233310699463, 0.15370677411556244, 0.7154446840286255, -2.7204432487487793, -1.0764509439468384, -0.6858314275741577, 0.7764672040939331, -0.8408799171447754, -1.0520553588867188]"
110,"[-0.1398814618587494, 0.476065069437027, 0.9675880670547485, -0.10549863427877426, 0.2751801311969757, 1.423163652420044, -0.841516375541687, -1.7435729503631592, 0.6724673509597778, 0.9808339476585388]"
140,"[-0.27840837836265564, 0.10211654007434845, 2.128181219100952, -0.29218676686286926, 1.7268142700195312, -0.631594717502594, 0.7904433608055115, -0.02037721499800682, -0.22170566022396088, -0.0025197656359523535]"
150,"[-0.03305846080183983, 1.2315106391906738, 0.1783045083284378, -0.17269490659236908, -0.18692593276500702, 0.0753968358039856, -1.5128103494644165, 2.1252381801605225, -0.6484571695327759, 0.518501341342926]"
160,"[0.3615436851978302, 0.5480123162269592, -0.9637032151222229, -0.02279277704656124, 0.190728560090065, 0.4532914161682129, -0.7832273244857788, -1.7929227352142334, 0.13047951459884644, 0.8719923496246338]"
170,"[0.7712090015411377, 1.3663108348846436, 0.1703462302684784, 0.44810718297958374, -1.0148653984069824, 0.995457649230957, 0.09765131026506424, 1.4479637145996094, -2.9329395294189453, -0.9224803447723389]"
180,"[-0.5130310654640198, -1.385201334953308, 1.9203999042510986, -1.7659622430801392, -0.205358624458313, 0.07959522306919098, 0.024161702021956444, 0.7033953666687012, 2.2158045768737793, 2.5213136672973633]"
190,"[-1.0738152265548706, -0.07142779231071472, 1.8655120134353638, 1.4206749200820923, 1.2103620767593384, -0.32629263401031494, 0.6166272163391113, 0.6762136816978455, 1.7227027416229248, -0.10539284348487854]"
210,"[-0.7237162590026855, 0.0760965570807457, 0.6329731345176697, -0.45911550521850586, 0.6530768871307373, 1.1276040077209473, -0.6258692741394043, -1.6821296215057373, 0.08351726084947586, -0.40971872210502625]"
230,"[-1.570402979850769, 1.013157844543457, -1.0010290145874023, -1.796494483947754, 1.4257891178131104, -0.3952586352825165, 1.340627670288086, -1.0145748853683472, -1.6900945901870728, 2.8200793266296387]"
240,"[0.4104001522064209, -1.4378981590270996, -1.1609901189804077, -0.9202512502670288, -1.1564139127731323, -1.1319724321365356, -0.5272849202156067, 1.49912691116333, 0.5829410552978516, -0.23143607378005981]"
250,"[-0.5522819757461548, 1.513663411140442, -1.1024290323257446, -0.35836538672447205, -0.5587392449378967, 0.5614443421363831, 1.830791711807251, -1.2353312969207764, -1.001346468925476, 0.38753241300582886]"
260,"[-0.05823351815342903, -1.1118452548980713, 0.15084215998649597, 1.1243581771850586, -0.5095948576927185, -1.1900055408477783, -0.3809176981449127, 0.9281033873558044, -0.9950449466705322, 0.3325861990451813]"
270,"[-1.6674786806106567, -1.08603036403656, -0.6435626149177551, -1.0811766386032104, -1.7058247327804565, 0.8311646580696106, -0.6356841921806335, 0.5856982469558716, -0.20856553316116333, -1.1431975364685059]"
280,"[2.233408212661743, 0.3995789587497711, 0.7889347076416016, -1.7888720035552979, -0.3269980847835541, 2.122704029083252, 0.7618849277496338, -0.24721552431583405, 2.2019600868225098, -0.8087317943572998]"
290,"[0.4143114984035492, 0.21049541234970093, 0.8419967293739319, 2.077038526535034, -0.21431218087673187, 2.106370449066162, -0.43728378415107727, -0.7518389821052551, -2.606858968734741, 0.6805645823478699]"
300,"[1.3923428058624268, -0.8686317801475525, 1.3704513311386108, -1.4675178527832031, -2.2848453521728516, 0.5626130700111389, 0.4568353295326233, -1.4078516960144043, 0.2092541754245758, 1.2064353227615356]"
320,"[-0.4163486063480377, -1.6214680671691895, -0.16186989843845367, 0.9033488035202026, 0.9828969240188599, -1.0601332187652588, 0.8208430409431458, -1.156823992729187, -1.0439789295196533, -1.4258283376693726]"
330,"[-0.039873115718364716, -0.6061655879020691, -0.5472731590270996, 2.0631277561187744, -0.3203359842300415, -0.5954174995422363, -0.08858926594257355, 0.8101056218147278, 0.38479211926460266, 0.2018997073173523]"
340,"[1.854872703552246, -0.5636302828788757, -0.4296446740627289, 1.4476591348648071, 1.9756488800048828, 0.4093519449234009, -0.4091801047325134, -0.4376140832901001, 0.4649888873100281, -0.4303096830844879]"
350,"[0.9924429655075073, 0.22094562649726868, -1.4231131076812744, 1.572332739830017, 0.06587181240320206, 0.8105648756027222, -0.18300360441207886, -1.536211609840393, -1.1202976703643799, 0.22007645666599274]"
360,"[2.3844971656799316, -0.7797046899795532, -0.13440799713134766, 1.110006332397461, 0.9271875023841858, -0.12211205065250397, -0.6096295714378357, 0.20678947865962982, 0.18968677520751953, -0.43593695759773254]"
370,"[1.2873663902282715, -0.07794744521379471, -1.347978949546814, -0.30413350462913513, 0.12048959732055664, -0.3060769736766815, 0.6346403360366821, -0.3511875867843628, 0.6272330284118652, -2.6326699256896973]"
380,"[2.5749599933624268, 0.9305515289306641, -0.6290804743766785, 1.6255826950073242, -0.027784740552306175, -0.6106342673301697, -0.20119822025299072, -1.0094469785690308, -0.3758682906627655, 0.2981087267398834]"
390,"[-0.11621113866567612, -0.6292215585708618, 1.1020047664642334, -0.5373488664627075, -0.16353122889995575, -1.3706936836242676, 0.6433656215667725, -0.18934029340744019, 0.7757762670516968, -1.1684993505477905]"
410,"[-1.3796982765197754, -2.029752016067505, 0.256978303194046, 0.48202913999557495, -0.7643556594848633, -0.5227611064910889, -0.4842391610145569, 0.533894419670105, 1.2516305446624756, 1.8662126064300537]"
420,"[0.6303085088729858, -0.7665337324142456, 0.018607696518301964, -1.3640211820602417, -1.4718812704086304, 0.35437896847724915, -0.4292962849140167, -1.302988052368164, -0.09487832337617874, -1.4927277565002441]"
440,"[0.23366205394268036, 1.2685108184814453, 2.469397783279419, 0.8804463148117065, 0.45379072427749634, 0.6392911672592163, -0.49958744645118713, 0.06431671977043152, -0.07226253300905228, 2.724043846130371]"
450,"[0.9093799591064453, -0.15598443150520325, 0.9341376423835754, 0.28904813528060913, -1.7014799118041992, -0.34769150614738464, -1.814536213874817, -0.7036396265029907, -0.0944814383983612, 1.527479887008667]"
480,"[-0.6078043580055237, 0.8374192714691162, -0.0780324637889862, 0.7846366167068481, 0.26774412393569946, 2.2572824954986572, -0.5120877027511597, 1.2744362354278564, -0.5970754027366638, -0.13190780580043793]"
500,"[-0.7016401290893555, -0.4712187647819519, -0.09229880571365356, 1.2849065065383911, 1.3156399726867676, 0.5682250261306763, 0.5037076473236084, 0.24480699002742767, 0.16678296029567719, 0.8623449206352234]"
510,"[0.3784577250480652, -1.1074895858764648, 0.480817973613739, 0.1824895590543747, 0.13217149674892426, -0.21923230588436127, -2.2349538803100586, 0.8880307078361511, -0.34650275111198425, 1.26780104637146]"
520,"[0.3097550570964813, 0.4379335641860962, -1.1624358892440796, -0.2601814568042755, -2.776873826980591, 0.77314293384552, -0.9661527872085571, -1.0287975072860718, -1.3041884899139404, 0.1300198882818222]"
540,"[-1.3596572875976562, -0.9020130634307861, 0.4028862714767456, -0.906025230884552, 1.0037847757339478, -0.14466799795627594, -1.3879057168960571, 0.21643170714378357, 0.15617066621780396, 0.23085084557533264]"
550,"[0.5155328512191772, 0.0956384539604187, 1.3060145378112793, 0.8862661123275757, 0.06452888995409012, -1.3734232187271118, 0.10280825197696686, 0.3750115931034088, 0.04837072640657425, -1.2039618492126465]"
590,"[0.7686760425567627, -0.198013573884964, -0.07639961689710617, -1.6873494386672974, -2.023552417755127, -1.238018274307251, -0.25643113255500793, 0.2854827642440796, 0.18150097131729126, -0.5506743788719177]"
610,"[1.467012882232666, 1.4449142217636108, 0.026645628735423088, 1.7034598588943481, 0.2311982661485672, 1.6178096532821655, 1.545024037361145, 1.0681166648864746, 1.065055251121521, 0.569428563117981]"
640,"[-0.06351801753044128, 1.1292459964752197, -0.39769020676612854, -0.12307152152061462, 1.8783539533615112, -2.248218297958374, -0.8744810223579407, 0.0728553980588913, -0.3758707344532013, -0.8071810007095337]"
650,"[0.4290628731250763, 0.3750699460506439, -0.8917809724807739, -0.599857747554779, 0.13570573925971985, -1.561049222946167, 0.41923612356185913, 1.3282283544540405, 0.9202702045440674, 1.762673258781433]"
680,"[-1.0027844905853271, 0.765700101852417, -0.5692151784896851, 0.6556392312049866, 2.6158857345581055, 1.68559992313385, -0.7231853008270264, -1.0953761339187622, 0.32569172978401184, 0.6681419610977173]"
720,"[2.0050225257873535, 2.364837408065796, 1.0733773708343506, -0.35896533727645874, 0.7783816456794739, -2.600691318511963, 1.0233309268951416, 1.8599282503128052, 0.5349149703979492, 1.9882886409759521]"
750,"[-1.2364280223846436, -0.28199276328086853, -1.8506276607513428, 0.045872773975133896, 1.8922098875045776, -0.4522274136543274, -2.865222692489624, -0.40303871035575867, -1.3199586868286133, -1.8342044353485107]"
780,"[0.8802965879440308, -0.7163277268409729, -0.7414138913154602, -1.5437756776809692, -1.7383958101272583, -1.5040487051010132, -0.9497259855270386, 0.32836443185806274, -1.3813834190368652, 1.0125386714935303]"
800,"[1.0137163400650024, -1.552546739578247, 0.08313675224781036, -0.08964001387357712, -0.8531875610351562, -0.5851151347160339, 3.295624017715454, 1.2148057222366333, 0.6714367270469666, -1.4488482475280762]"
810,"[0.453782856464386, -0.02200642041862011, 0.11579833179712296, 0.4782951772212982, 0.26490360498428345, -0.29865291714668274, 0.013496690429747105, -0.40514105558395386, 0.138428196310997, 0.3739590048789978]"
830,"[-0.08745032548904419, -0.4207967519760132, 0.9526858925819397, -1.7107179164886475, 1.4896442890167236, 1.8556792736053467, -0.8279072642326355, 0.26623693108558655, 0.3827865719795227, 0.7684723138809204]"
880,"[0.2054867446422577, -0.17143253982067108, -0.5757055282592773, 1.3029160499572754, 1.6059812307357788, -1.1949584484100342, -0.1059616208076477, -1.8637986183166504, -0.5211105942726135, -0.3268308937549591]"
900,"[0.5966602563858032, 0.45186060667037964, -0.2616981863975525, -1.414166808128357, 1.3620505332946777, -0.13737186789512634, 0.8556888699531555, 1.1926051378250122, -1.6351289749145508, -1.5418590307235718]"
910,"[-2.3697471618652344, -1.7939754724502563, 0.23847229778766632, 2.7859301567077637, 1.1430264711380005, 0.830038845539093, -1.4909785985946655, 0.8654303550720215, 1.3218075037002563, -1.0586891174316406]"
920,"[0.7360106706619263, 1.3340321779251099, 0.5915457606315613, 0.20856823027133942, -1.320818305015564, 1.180420160293579, -1.8775571584701538, -0.9274269342422485, -0.6874105930328369, 2.890059471130371]"
930,"[0.9023261666297913, 2.023909568786621, -0.35013335943222046, 1.1471177339553833, -0.8568673133850098, 1.177895188331604, 2.05430269241333, -2.746786594390869, -0.30131447315216064, 1.1992781162261963]"
